Vehicle No,Section,Time,Subsection,Repair No
KB - 2126,General Repair,30,Differential Issue,14
KB - 2127,General Repair,40,Differential Issue,7
KB - 2128,General Repair,35,Differential Issue,29
KB - 2129,General Repair,26,Differential Issue,20
KB - 2130,General Repair,40,Differential Issue,21
KB - 2131,General Repair,21,Differential Issue,20
KB - 2132,General Repair,26,Differential Issue,16
KB - 2133,General Repair,39,Differential Issue,20
KB - 2134,General Repair,21,Differential Issue,6
KB - 2135,General Repair,39,Differential Issue,10
KB - 2136,General Repair,31,Differential Issue,14
KB - 2137,General Repair,31,Differential Issue,22
KB - 2138,General Repair,29,Differential Issue,5
KB - 2139,General Repair,21,Differential Issue,6
KB - 2140,General Repair,28,Differential Issue,24
KB - 2141,General Repair,21,Differential Issue,21
KB - 2142,General Repair,38,Differential Issue,23
KB - 2143,General Repair,28,Differential Issue,24
KB - 2144,General Repair,36,Differential Issue,25
KB - 2145,General Repair,25,Differential Issue,9
KB - 2146,General Repair,40,Differential Issue,29
KB - 2147,General Repair,31,Differential Issue,14
KB - 2148,General Repair,35,Differential Issue,20
KB - 2149,General Repair,36,Differential Issue,30
KB - 2150,General Repair,21,Differential Issue,4
KB - 2151,General Repair,32,Differential Issue,19
KB - 2152,General Repair,28,Differential Issue,19
KB - 2153,General Repair,33,Differential Issue,11
KB - 2154,General Repair,24,Differential Issue,9
KB - 2155,General Repair,33,Differential Issue,9
KB - 2156,General Repair,20,Differential Issue,16
KB - 2157,General Repair,24,Differential Issue,16
KB - 2158,General Repair,38,Differential Issue,29
KB - 2159,General Repair,39,Differential Issue,10
KB - 2160,General Repair,34,Differential Issue,10
KB - 2161,General Repair,23,Differential Issue,22
KB - 2162,General Repair,25,Differential Issue,5
KB - 2163,General Repair,20,Differential Issue,27
KB - 2164,General Repair,37,Differential Issue,15
KB - 2165,General Repair,38,Differential Issue,18
KB - 2166,General Repair,34,Differential Issue,8
KB - 2167,General Repair,31,Differential Issue,15
KB - 2168,General Repair,31,Differential Issue,7
KB - 2169,General Repair,34,Differential Issue,8
KB - 2170,General Repair,20,Differential Issue,11
KB - 2171,General Repair,33,Differential Issue,12
KB - 2172,General Repair,27,Differential Issue,15
KB - 2173,General Repair,32,Differential Issue,25
KB - 2174,General Repair,22,Differential Issue,25
KB - 2175,General Repair,28,Differential Issue,3
KB - 2176,General Repair,27,Differential Issue,5
KB - 2177,General Repair,29,Differential Issue,30
KB - 2178,General Repair,32,Differential Issue,25
KB - 2179,General Repair,23,Differential Issue,3
KB - 2180,General Repair,28,Differential Issue,9
KB - 2181,General Repair,20,Differential Issue,24
KB - 2182,General Repair,37,Differential Issue,9
KB - 2183,General Repair,30,Differential Issue,10
KB - 2184,General Repair,40,Differential Issue,3
KB - 2185,General Repair,21,Differential Issue,10
KB - 2186,General Repair,23,Differential Issue,28
KB - 2187,General Repair,20,Differential Issue,18
KB - 2188,General Repair,31,Differential Issue,17
KB - 2189,General Repair,26,Differential Issue,12
KB - 2190,General Repair,23,Differential Issue,3
KB - 2191,General Repair,33,Differential Issue,29
KB - 2192,General Repair,36,Differential Issue,25
KB - 2193,General Repair,21,Differential Issue,11
KB - 2194,General Repair,34,Differential Issue,10
KB - 2195,General Repair,24,Differential Issue,7
KB - 2196,General Repair,38,Differential Issue,19
KB - 2197,General Repair,21,Differential Issue,12
KB - 2198,General Repair,32,Differential Issue,5
KB - 2199,General Repair,34,Differential Issue,28
KB - 2200,General Repair,30,Differential Issue,30
KB - 2201,General Repair,20,Differential Issue,6
KB - 2202,General Repair,20,Differential Issue,20
KB - 2203,General Repair,21,Differential Issue,22
KB - 2204,General Repair,29,Differential Issue,11
KB - 2205,General Repair,40,Differential Issue,28
KB - 2206,General Repair,34,Differential Issue,27
KB - 2207,General Repair,26,Differential Issue,14
KB - 2208,General Repair,22,Differential Issue,20
KB - 2209,General Repair,32,Differential Issue,2
KB - 2210,General Repair,27,Differential Issue,3
KB - 2211,General Repair,21,Differential Issue,9
KB - 2212,General Repair,33,Differential Issue,18
KB - 2213,General Repair,25,Differential Issue,29
KB - 2214,General Repair,27,Differential Issue,16
KB - 2215,General Repair,28,Differential Issue,3
KB - 2216,General Repair,20,Differential Issue,21
KB - 2217,General Repair,25,Differential Issue,5
KB - 2218,General Repair,39,Differential Issue,1
KB - 2219,General Repair,40,Differential Issue,12
KB - 2220,General Repair,35,Differential Issue,29
KB - 2221,General Repair,33,Differential Issue,29
KB - 2222,General Repair,40,Differential Issue,2
KB - 2223,General Repair,27,Differential Issue,16
KB - 2224,General Repair,39,Differential Issue,24
KB - 2225,General Repair,35,Differential Issue,21
KB - 2226,General Repair,32,Differential Issue,18
